H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",5.09,0.3728,2.5,32.53,35.02,0.1564,0.4125,0.4913
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.81,0.5226,2.48,34.29,36.91,0.2278,0.528,0.5261
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",5.15,0.3727,2.58,35.22,38.04,0.1463,0.6964,0.4843
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.19,0.1014,4.52,77.47,116.35,-0.0282,0.8541,0.069
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.28,0.3484,4.72,77.47,116.35,0.0811,0.9015,0.062
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.66,0.2171,4.6,77.47,116.35,0.0214,0.8935,0.075
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.41,0.2384,4.52,77.47,116.35,0.0311,0.8904,0.0787
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.97,0.4906,5.01,77.47,116.35,0.1544,0.949,0.0545
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.49,0.3803,4.74,77.47,116.35,0.0966,0.8233,0.0625
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.09,0.4473,4.8,77.47,116.35,0.1302,0.8873,0.0732
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.84,0.4661,4.85,77.47,116.35,0.14,0.835,0.0649
252,5,PTO-MVO,PTO-MVO (LB=252),6.73,0.4598,2.57,36.09,39.26,0.1864,0.1881,0.0807
252,5,PTO-MVO,PTO-MVO (LB=504),4.94,0.3585,2.63,37.23,40.52,0.1327,0.19,0.0544
252,5,DFL-MVO,DFL-MVO (LB=252),16.59,0.8168,3.16,30.05,33.3,0.5522,1.0,0.4884
252,5,DFL-MVO,DFL-MVO (LB=504),2.12,0.207,3.48,44.43,47.29,0.0476,1.0,0.1395
252,5,Benchmark,EW,11.66,0.6457,3.01,38.73,42.74,0.3011,0.1,0.0323
252,5,Benchmark,GMV (LB=252),7.23,0.4895,2.56,34.81,37.83,0.2077,0.1819,0.079
252,5,Benchmark,hist-MVO (LB=252),11.36,0.6722,2.79,33.63,36.71,0.3378,0.2275,0.2711
252,5,Benchmark,GMV (LB=504),5.51,0.3907,2.62,36.15,39.3,0.1526,0.1876,0.0528
252,5,Benchmark,hist-MVO (LB=504),7.26,0.4707,2.76,33.62,36.45,0.216,0.2009,0.1482
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",4.39,0.3224,2.73,40.65,43.97,0.1079,0.4602,0.5008
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.84,0.3537,2.6,34.73,37.33,0.1393,0.5191,0.5472
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.8,0.4742,2.47,31.32,33.7,0.2172,0.5101,0.5721
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.87,0.3634,2.51,33.24,35.75,0.1465,0.774,0.2966
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.74,0.597,2.65,37.69,40.65,0.2585,0.2862,0.4067
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",4.78,0.356,2.5,32.54,35.02,0.1469,0.4125,0.4913
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.47,0.5045,2.48,34.29,36.92,0.218,0.528,0.5261
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",4.85,0.3565,2.58,35.23,38.06,0.1377,0.6964,0.4843
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.23,0.1002,4.52,77.47,116.35,-0.0287,0.8541,0.069
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.24,0.3473,4.72,77.47,116.35,0.0806,0.9015,0.062
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.61,0.2157,4.6,77.47,116.35,0.0208,0.8935,0.075
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.36,0.237,4.52,77.47,116.35,0.0305,0.8904,0.0787
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.93,0.4897,5.01,77.47,116.35,0.154,0.949,0.0545
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.45,0.3792,4.74,77.47,116.35,0.0961,0.8233,0.0625
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.04,0.446,4.8,77.47,116.35,0.1296,0.8873,0.0732
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.8,0.465,4.85,77.47,116.35,0.1394,0.835,0.0649
252,10,PTO-MVO,PTO-MVO (LB=252),6.68,0.4571,2.57,36.09,39.27,0.185,0.1881,0.0807
252,10,PTO-MVO,PTO-MVO (LB=504),4.91,0.3567,2.63,37.23,40.52,0.1318,0.19,0.0544
252,10,DFL-MVO,DFL-MVO (LB=252),16.26,0.8035,3.16,30.05,33.3,0.541,1.0,0.4884
252,10,DFL-MVO,DFL-MVO (LB=504),2.03,0.2036,3.49,44.54,47.5,0.0456,1.0,0.1395
252,10,Benchmark,EW,11.64,0.6448,3.01,38.73,42.74,0.3005,0.1,0.0323
252,10,Benchmark,GMV (LB=252),7.18,0.4868,2.56,34.82,37.84,0.2062,0.1819,0.079
252,10,Benchmark,hist-MVO (LB=252),11.18,0.6636,2.79,33.64,36.72,0.3324,0.2275,0.2711
252,10,Benchmark,GMV (LB=504),5.48,0.3889,2.62,36.15,39.31,0.1516,0.1876,0.0528
252,10,Benchmark,hist-MVO (LB=504),7.17,0.466,2.76,33.62,36.46,0.2132,0.2009,0.1482
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",3.77,0.2909,2.73,40.69,44.01,0.0926,0.4602,0.5008
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.16,0.3173,2.6,34.8,37.42,0.1195,0.5191,0.5472
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.08,0.434,2.48,31.37,33.75,0.1938,0.5101,0.5721
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.5,0.3428,2.51,33.26,35.78,0.1353,0.774,0.2966
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.21,0.5708,2.65,37.72,40.68,0.2443,0.2862,0.4067
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",4.17,0.3224,2.5,32.55,35.04,0.1282,0.4125,0.4913
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",6.8,0.4683,2.48,34.3,36.92,0.1984,0.528,0.5261
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",4.25,0.3241,2.58,35.25,38.08,0.1205,0.6964,0.4843
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.31,0.0977,4.52,77.47,116.35,-0.0298,0.8541,0.069
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.16,0.3452,4.72,77.47,116.35,0.0796,0.9015,0.062
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.52,0.2131,4.6,77.47,116.35,0.0196,0.8935,0.075
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.26,0.2342,4.52,77.47,116.35,0.0292,0.8904,0.0787
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.86,0.4879,5.01,77.47,116.35,0.153,0.949,0.0545
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.37,0.3771,4.74,77.47,116.35,0.0951,0.8233,0.0625
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.94,0.4436,4.8,77.47,116.35,0.1283,0.8873,0.0732
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.72,0.4628,4.85,77.47,116.35,0.1383,0.835,0.0649
252,20,PTO-MVO,PTO-MVO (LB=252),6.57,0.4516,2.57,36.1,39.27,0.1821,0.1881,0.0807
252,20,PTO-MVO,PTO-MVO (LB=504),4.84,0.3531,2.63,37.24,40.53,0.1299,0.19,0.0544
252,20,DFL-MVO,DFL-MVO (LB=252),15.58,0.7765,3.16,30.05,33.3,0.5186,1.0,0.4884
252,20,DFL-MVO,DFL-MVO (LB=504),1.86,0.1967,3.49,44.76,47.92,0.0416,1.0,0.1395
252,20,Benchmark,EW,11.6,0.6429,3.01,38.73,42.74,0.2994,0.1,0.0323
252,20,Benchmark,GMV (LB=252),7.08,0.4814,2.56,34.82,37.85,0.2033,0.1819,0.079
252,20,Benchmark,hist-MVO (LB=252),10.83,0.6464,2.79,33.66,36.75,0.3216,0.2275,0.2711
252,20,Benchmark,GMV (LB=504),5.42,0.3854,2.62,36.15,39.31,0.1498,0.1876,0.0528
252,20,Benchmark,hist-MVO (LB=504),6.98,0.4566,2.76,33.64,36.47,0.2075,0.2009,0.1482
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",2.54,0.2276,2.73,40.78,44.1,0.0623,0.4602,0.5008
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",2.81,0.2446,2.6,34.99,37.67,0.0804,0.5191,0.5472
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",4.65,0.3534,2.48,31.56,33.97,0.1472,0.5101,0.5721
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",3.77,0.3017,2.51,33.32,35.83,0.1131,0.774,0.2966
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.16,0.5183,2.65,37.78,40.74,0.2161,0.2862,0.4067
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",2.96,0.2551,2.51,32.57,35.06,0.0909,0.4125,0.4913
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",5.48,0.3956,2.48,34.31,36.93,0.1596,0.528,0.5261
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",3.06,0.2589,2.58,35.31,38.13,0.0866,0.6964,0.4843
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.47,0.0929,4.52,77.47,116.35,-0.0318,0.8541,0.069
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.01,0.341,4.72,77.47,116.35,0.0775,0.9015,0.062
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.34,0.2078,4.6,77.47,116.35,0.0173,0.8935,0.075
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.07,0.2287,4.52,77.47,116.35,0.0268,0.8904,0.0787
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.71,0.4844,5.01,77.47,116.35,0.1512,0.949,0.0545
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.21,0.3729,4.74,77.47,116.35,0.093,0.8233,0.0625
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.75,0.4387,4.8,77.47,116.35,0.1259,0.8873,0.0732
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.54,0.4585,4.85,77.47,116.35,0.1361,0.835,0.0649
252,40,PTO-MVO,PTO-MVO (LB=252),6.37,0.4407,2.57,36.11,39.29,0.1764,0.1881,0.0807
252,40,PTO-MVO,PTO-MVO (LB=504),4.7,0.346,2.63,37.25,40.54,0.1263,0.19,0.0544
252,40,DFL-MVO,DFL-MVO (LB=252),14.24,0.7222,3.17,30.05,33.3,0.474,1.0,0.4884
252,40,DFL-MVO,DFL-MVO (LB=504),1.52,0.183,3.49,45.2,48.76,0.0337,1.0,0.1395
252,40,Benchmark,EW,11.51,0.6391,3.01,38.74,42.75,0.2972,0.1,0.0323
252,40,Benchmark,GMV (LB=252),6.88,0.4707,2.56,34.84,37.86,0.1974,0.1819,0.079
252,40,Benchmark,hist-MVO (LB=252),10.11,0.6118,2.79,33.71,36.79,0.3,0.2275,0.2711
252,40,Benchmark,GMV (LB=504),5.28,0.3784,2.62,36.17,39.32,0.1461,0.1876,0.0528
252,40,Benchmark,hist-MVO (LB=504),6.6,0.4377,2.76,33.66,36.5,0.1962,0.2009,0.1482
