tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.23,0.1522,4.38,77.47,116.35,-0.0029,0.7347,0.0892
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.04,0.3416,4.58,77.47,116.35,0.0779,0.7402,0.0816
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.4,0.2385,4.67,77.47,116.35,0.031,0.8188,0.0885
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.95,0.2545,4.66,77.47,116.35,0.0381,0.8231,0.0952
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.94,0.2226,4.51,77.47,116.35,0.025,0.7292,0.0882
5,PTO-MVO,PTO-MVO (LB=252),7.51,0.5029,2.57,35.97,39.13,0.2088,0.1859,0.0803
5,PTO-MVO,PTO-MVO (LB=504),5.81,0.4049,2.63,37.24,40.52,0.156,0.185,0.0544
5,DFL-MVO,DFL-MVO (LB=252),-0.41,0.1306,4.66,60.39,73.76,-0.0068,1.0,0.5376
5,DFL-MVO,DFL-MVO (LB=504),12.59,0.5554,4.25,44.03,48.58,0.2859,1.0,0.5376
5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.0327
5,Benchmark,GMV (LB=252),7.86,0.5241,2.56,34.81,37.83,0.2259,0.1792,0.0797
5,Benchmark,hist-MVO (LB=252),11.32,0.6724,2.77,33.63,36.71,0.3366,0.2261,0.2701
5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.15,39.3,0.1765,0.1838,0.0531
5,Benchmark,hist-MVO (LB=504),7.63,0.4887,2.76,33.62,36.45,0.227,0.1979,0.1495
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.19,0.3564,2.87,42.43,47.78,0.1224,0.305,0.618
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",13.09,0.7512,2.7,31.38,33.76,0.4171,0.3355,0.5483
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",11.51,0.6411,2.96,26.07,28.39,0.4416,0.4881,0.7049
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.36,0.3855,3.36,34.57,37.78,0.1839,0.4756,0.7295
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.15,0.4963,2.82,38.53,41.6,0.2115,0.3064,0.4653
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.05,0.4242,3.12,40.12,44.4,0.1757,0.3173,0.6211
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",9.39,0.4952,3.35,46.18,50.46,0.2034,0.4521,0.7976
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.05,0.4337,3.02,37.14,40.12,0.1899,0.4832,0.8496
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.37,0.1674,4.25,77.47,116.35,0.0047,0.7131,0.0758
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.56,0.2086,4.43,77.47,116.35,0.0202,0.8026,0.0707
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.61,0.1369,4.23,77.47,116.35,-0.0079,0.7263,0.0848
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.28,0.1506,4.38,77.47,116.35,-0.0036,0.7347,0.0892
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.99,0.3402,4.58,77.47,116.35,0.0773,0.7402,0.0816
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.35,0.237,4.67,77.47,116.35,0.0303,0.8188,0.0885
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.89,0.2529,4.66,77.47,116.35,0.0373,0.8231,0.0952
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.89,0.221,4.51,77.47,116.35,0.0243,0.7292,0.0882
10,PTO-MVO,PTO-MVO (LB=252),7.46,0.5002,2.57,35.97,39.13,0.2074,0.1859,0.0803
10,PTO-MVO,PTO-MVO (LB=504),5.78,0.4031,2.63,37.24,40.52,0.1551,0.185,0.0544
10,DFL-MVO,DFL-MVO (LB=252),-0.73,0.1195,4.66,60.58,74.23,-0.012,1.0,0.5376
10,DFL-MVO,DFL-MVO (LB=504),12.23,0.5444,4.25,44.14,48.67,0.2771,1.0,0.5376
10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.0327
10,Benchmark,GMV (LB=252),7.81,0.5214,2.56,34.82,37.84,0.2244,0.1792,0.0797
10,Benchmark,hist-MVO (LB=252),11.14,0.6638,2.77,33.64,36.72,0.3311,0.2261,0.2701
10,Benchmark,GMV (LB=504),6.34,0.4353,2.61,36.15,39.31,0.1755,0.1838,0.0531
10,Benchmark,hist-MVO (LB=504),7.54,0.4839,2.76,33.62,36.46,0.2241,0.1979,0.1495
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",4.42,0.3189,2.87,42.51,47.91,0.1041,0.305,0.618
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",12.35,0.7163,2.71,31.47,33.85,0.3926,0.3355,0.5483
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",10.58,0.5995,2.96,26.08,28.4,0.4057,0.4881,0.7049
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.44,0.3471,3.37,34.61,37.81,0.1571,0.4756,0.7295
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.55,0.4683,2.82,38.55,41.62,0.196,0.3064,0.4653
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.26,0.3898,3.13,40.12,44.4,0.1561,0.3173,0.6211
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.36,0.4555,3.35,46.26,50.55,0.1807,0.4521,0.7976
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",5.97,0.3847,3.03,37.25,40.24,0.1604,0.4832,0.8496
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.28,0.1646,4.25,77.47,116.35,0.0036,0.7131,0.0758
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.48,0.206,4.43,77.47,116.35,0.0191,0.8026,0.0707
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.71,0.1337,4.23,77.47,116.35,-0.0092,0.7263,0.0848
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.38,0.1472,4.38,77.47,116.35,-0.005,0.7347,0.0892
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.88,0.3373,4.58,77.47,116.35,0.0759,0.7402,0.0816
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.24,0.2339,4.67,77.47,116.35,0.0289,0.8188,0.0885
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.78,0.2495,4.66,77.47,116.35,0.0358,0.8231,0.0952
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.78,0.2179,4.51,77.47,116.35,0.023,0.7292,0.0882
20,PTO-MVO,PTO-MVO (LB=252),7.36,0.4947,2.57,35.98,39.14,0.2045,0.1859,0.0803
20,PTO-MVO,PTO-MVO (LB=504),5.71,0.3995,2.63,37.25,40.53,0.1532,0.185,0.0544
20,DFL-MVO,DFL-MVO (LB=252),-1.36,0.0974,4.66,60.98,75.17,-0.0223,1.0,0.5376
20,DFL-MVO,DFL-MVO (LB=504),11.51,0.5222,4.25,44.37,48.87,0.2595,1.0,0.5376
20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.0327
20,Benchmark,GMV (LB=252),7.71,0.5159,2.56,34.82,37.85,0.2214,0.1792,0.0797
20,Benchmark,hist-MVO (LB=252),10.78,0.6465,2.77,33.66,36.75,0.3203,0.2261,0.2701
20,Benchmark,GMV (LB=504),6.28,0.4318,2.61,36.15,39.31,0.1736,0.1838,0.0531
20,Benchmark,hist-MVO (LB=504),7.35,0.4744,2.76,33.64,36.47,0.2184,0.1979,0.1495
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",2.9,0.2439,2.87,42.68,48.16,0.0679,0.305,0.618
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",10.9,0.6463,2.71,31.96,34.46,0.341,0.3355,0.5483
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.74,0.5159,2.97,26.1,28.43,0.3348,0.4881,0.7049
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",3.62,0.2701,3.38,36.52,39.01,0.0992,0.4756,0.7295
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.37,0.4121,2.83,38.58,41.64,0.1651,0.3064,0.4653
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",4.7,0.321,3.14,40.12,44.4,0.1172,0.3173,0.6211
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",6.32,0.3759,3.36,48.02,51.57,0.1316,0.4521,0.7976
40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",3.85,0.2864,3.04,37.48,40.47,0.1027,0.4832,0.8496
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.09,0.1588,4.25,77.47,116.35,0.0012,0.7131,0.0758
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.31,0.2008,4.43,77.47,116.35,0.0168,0.8026,0.0707
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.91,0.1272,4.23,77.47,116.35,-0.0118,0.7263,0.0848
40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.6,0.1406,4.38,77.47,116.35,-0.0077,0.7347,0.0892
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.68,0.3315,4.58,77.47,116.35,0.0733,0.7402,0.0816
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.02,0.2277,4.67,77.47,116.35,0.0261,0.8188,0.0885
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.54,0.2429,4.66,77.47,116.35,0.0328,0.8231,0.0952
40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.57,0.2115,4.51,77.47,116.35,0.0202,0.7292,0.0882
40,PTO-MVO,PTO-MVO (LB=252),7.15,0.4838,2.57,35.99,39.15,0.1987,0.1859,0.0803
40,PTO-MVO,PTO-MVO (LB=504),5.57,0.3923,2.63,37.26,40.54,0.1495,0.185,0.0544
40,DFL-MVO,DFL-MVO (LB=252),-2.62,0.053,4.66,61.98,77.05,-0.0422,1.0,0.5376
40,DFL-MVO,DFL-MVO (LB=504),10.09,0.4775,4.26,44.81,49.26,0.2252,1.0,0.5376
40,Benchmark,EW,11.72,0.6465,3.02,38.74,42.75,0.3026,0.1,0.0327
40,Benchmark,GMV (LB=252),7.51,0.5051,2.56,34.84,37.86,0.2154,0.1792,0.0797
40,Benchmark,hist-MVO (LB=252),10.07,0.6118,2.77,33.71,36.79,0.2989,0.2261,0.2701
40,Benchmark,GMV (LB=504),6.14,0.4247,2.61,36.17,39.32,0.1699,0.1838,0.0531
40,Benchmark,hist-MVO (LB=504),6.96,0.4553,2.76,33.66,36.5,0.2069,0.1979,0.1495
