H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0,DFL-MVO,DFL-MVO (LB=504),15.12,0.7554,3.27,33.46,37.06,0.4519,1.0,0.2326
252,0,Benchmark,EW,11.68,0.6467,3.01,38.73,42.74,0.3017,0.1,0.0323
252,0,Benchmark,GMV (LB=252),7.28,0.4921,2.56,34.81,37.83,0.2091,0.1819,0.079
252,0,Benchmark,hist-MVO (LB=252),11.54,0.6808,2.79,33.62,36.7,0.3433,0.2275,0.2711
252,0,Benchmark,GMV (LB=504),5.55,0.3924,2.62,36.14,39.3,0.1535,0.1876,0.0528
252,0,Benchmark,hist-MVO (LB=504),7.36,0.4755,2.76,33.61,36.44,0.2189,0.2009,0.1482
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",10.45,0.6585,2.53,32.51,35.04,0.3214,0.2985,0.5675
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.17,0.3562,2.8,43.0,47.02,0.1203,0.4129,0.4923
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.35,0.4229,2.76,33.86,36.57,0.1875,0.4556,0.5182
252,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",8.69,0.5579,2.59,33.99,36.56,0.2558,0.548,0.485
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",5.27,0.3741,2.65,35.52,38.78,0.1482,0.2908,0.5172
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.35,0.5768,2.68,36.6,39.84,0.2555,0.3718,0.4905
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",4.88,0.3593,2.55,32.74,35.4,0.149,0.4314,0.538
252,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.57,0.4913,2.64,36.1,39.3,0.2097,0.447,0.352
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.19,0.1014,4.52,77.47,116.35,-0.0282,0.8541,0.069
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.28,0.3484,4.72,77.47,116.35,0.0811,0.9015,0.062
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.66,0.2171,4.6,77.47,116.35,0.0214,0.8935,0.075
252,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.41,0.2384,4.52,77.47,116.35,0.0311,0.8904,0.0787
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.97,0.4906,5.01,77.47,116.35,0.1544,0.949,0.0545
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.49,0.3803,4.74,77.47,116.35,0.0966,0.8233,0.0625
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.09,0.4473,4.8,77.47,116.35,0.1302,0.8873,0.0732
252,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.84,0.4661,4.85,77.47,116.35,0.14,0.835,0.0649
252,5,PTO-MVO,PTO-MVO (LB=252),6.73,0.4598,2.57,36.09,39.26,0.1864,0.1881,0.0807
252,5,PTO-MVO,PTO-MVO (LB=504),4.94,0.3585,2.63,37.23,40.52,0.1327,0.19,0.0544
252,5,DFL-MVO,DFL-MVO (LB=252),9.7,0.5346,3.16,36.06,42.62,0.2689,1.0,0.1163
252,5,DFL-MVO,DFL-MVO (LB=504),14.96,0.749,3.27,33.46,37.06,0.4472,1.0,0.2326
252,5,Benchmark,EW,11.66,0.6457,3.01,38.73,42.74,0.3011,0.1,0.0323
252,5,Benchmark,GMV (LB=252),7.23,0.4895,2.56,34.81,37.83,0.2077,0.1819,0.079
252,5,Benchmark,hist-MVO (LB=252),11.36,0.6722,2.79,33.63,36.71,0.3378,0.2275,0.2711
252,5,Benchmark,GMV (LB=504),5.51,0.3907,2.62,36.15,39.3,0.1526,0.1876,0.0528
252,5,Benchmark,hist-MVO (LB=504),7.26,0.4707,2.76,33.62,36.45,0.216,0.2009,0.1482
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",10.08,0.6392,2.53,32.55,35.09,0.3096,0.2985,0.5675
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.87,0.3413,2.8,43.01,47.04,0.1131,0.4129,0.4923
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.02,0.4065,2.76,33.89,36.6,0.1777,0.4556,0.5182
252,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",8.38,0.5418,2.59,33.99,36.56,0.2466,0.548,0.485
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",4.94,0.3572,2.65,35.56,38.82,0.139,0.2908,0.5172
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.03,0.561,2.68,36.67,39.93,0.2464,0.3718,0.4905
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",4.55,0.3412,2.55,32.8,35.48,0.1386,0.4314,0.538
252,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.35,0.4799,2.64,36.13,39.34,0.2033,0.447,0.352
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.23,0.1002,4.52,77.47,116.35,-0.0287,0.8541,0.069
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.24,0.3473,4.72,77.47,116.35,0.0806,0.9015,0.062
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.61,0.2157,4.6,77.47,116.35,0.0208,0.8935,0.075
252,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.36,0.237,4.52,77.47,116.35,0.0305,0.8904,0.0787
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.93,0.4897,5.01,77.47,116.35,0.154,0.949,0.0545
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.45,0.3792,4.74,77.47,116.35,0.0961,0.8233,0.0625
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.04,0.446,4.8,77.47,116.35,0.1296,0.8873,0.0732
252,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.8,0.465,4.85,77.47,116.35,0.1394,0.835,0.0649
252,10,PTO-MVO,PTO-MVO (LB=252),6.68,0.4571,2.57,36.09,39.27,0.185,0.1881,0.0807
252,10,PTO-MVO,PTO-MVO (LB=504),4.91,0.3567,2.63,37.23,40.52,0.1318,0.19,0.0544
252,10,DFL-MVO,DFL-MVO (LB=252),9.62,0.5315,3.16,36.12,42.72,0.2663,1.0,0.1163
252,10,DFL-MVO,DFL-MVO (LB=504),14.81,0.7426,3.27,33.46,37.06,0.4425,1.0,0.2326
252,10,Benchmark,EW,11.64,0.6448,3.01,38.73,42.74,0.3005,0.1,0.0323
252,10,Benchmark,GMV (LB=252),7.18,0.4868,2.56,34.82,37.84,0.2062,0.1819,0.079
252,10,Benchmark,hist-MVO (LB=252),11.18,0.6636,2.79,33.64,36.72,0.3324,0.2275,0.2711
252,10,Benchmark,GMV (LB=504),5.48,0.3889,2.62,36.15,39.31,0.1516,0.1876,0.0528
252,10,Benchmark,hist-MVO (LB=504),7.17,0.466,2.76,33.62,36.46,0.2132,0.2009,0.1482
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.34,0.6005,2.53,32.63,35.18,0.2861,0.2985,0.5675
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.25,0.3113,2.8,43.05,47.07,0.0988,0.4129,0.4923
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",5.37,0.3737,2.76,33.95,36.66,0.1582,0.4556,0.5182
252,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.76,0.5095,2.59,34.0,36.57,0.2282,0.548,0.485
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",4.3,0.3233,2.65,35.63,38.91,0.1207,0.2908,0.5172
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.4,0.5295,2.68,36.79,40.11,0.2283,0.3718,0.4905
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",3.88,0.3048,2.55,32.92,35.64,0.1179,0.4314,0.538
252,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.9,0.457,2.64,36.27,39.53,0.1902,0.447,0.352
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.31,0.0977,4.52,77.47,116.35,-0.0298,0.8541,0.069
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.16,0.3452,4.72,77.47,116.35,0.0796,0.9015,0.062
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.52,0.2131,4.6,77.47,116.35,0.0196,0.8935,0.075
252,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.26,0.2342,4.52,77.47,116.35,0.0292,0.8904,0.0787
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.86,0.4879,5.01,77.47,116.35,0.153,0.949,0.0545
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.37,0.3771,4.74,77.47,116.35,0.0951,0.8233,0.0625
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.94,0.4436,4.8,77.47,116.35,0.1283,0.8873,0.0732
252,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.72,0.4628,4.85,77.47,116.35,0.1383,0.835,0.0649
252,20,PTO-MVO,PTO-MVO (LB=252),6.57,0.4516,2.57,36.1,39.27,0.1821,0.1881,0.0807
252,20,PTO-MVO,PTO-MVO (LB=504),4.84,0.3531,2.63,37.24,40.53,0.1299,0.19,0.0544
252,20,DFL-MVO,DFL-MVO (LB=252),9.47,0.5251,3.16,36.25,42.91,0.2612,1.0,0.1163
252,20,DFL-MVO,DFL-MVO (LB=504),14.49,0.7297,3.28,33.46,37.06,0.433,1.0,0.2326
252,20,Benchmark,EW,11.6,0.6429,3.01,38.73,42.74,0.2994,0.1,0.0323
252,20,Benchmark,GMV (LB=252),7.08,0.4814,2.56,34.82,37.85,0.2033,0.1819,0.079
252,20,Benchmark,hist-MVO (LB=252),10.83,0.6464,2.79,33.66,36.75,0.3216,0.2275,0.2711
252,20,Benchmark,GMV (LB=504),5.42,0.3854,2.62,36.15,39.31,0.1498,0.1876,0.0528
252,20,Benchmark,hist-MVO (LB=504),6.98,0.4566,2.76,33.64,36.47,0.2075,0.2009,0.1482
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.87,0.5228,2.54,32.8,35.38,0.24,0.2985,0.5675
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",3.04,0.2513,2.8,43.21,47.28,0.0704,0.4129,0.4923
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",4.08,0.3077,2.76,34.08,36.79,0.1197,0.4556,0.5182
252,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.52,0.4446,2.59,34.16,36.77,0.191,0.548,0.485
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",3.03,0.2553,2.65,35.76,39.09,0.0846,0.2908,0.5172
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.14,0.4664,2.69,37.05,40.47,0.1928,0.3718,0.4905
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",2.56,0.232,2.55,33.15,35.95,0.0772,0.4314,0.538
252,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.01,0.4112,2.64,36.55,39.91,0.1644,0.447,0.352
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-2.47,0.0929,4.52,77.47,116.35,-0.0318,0.8541,0.069
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",6.01,0.341,4.72,77.47,116.35,0.0775,0.9015,0.062
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",1.34,0.2078,4.6,77.47,116.35,0.0173,0.8935,0.075
252,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",2.07,0.2287,4.52,77.47,116.35,0.0268,0.8904,0.0787
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",11.71,0.4844,5.01,77.47,116.35,0.1512,0.949,0.0545
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",7.21,0.3729,4.74,77.47,116.35,0.093,0.8233,0.0625
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.75,0.4387,4.8,77.47,116.35,0.1259,0.8873,0.0732
252,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.54,0.4585,4.85,77.47,116.35,0.1361,0.835,0.0649
252,40,PTO-MVO,PTO-MVO (LB=252),6.37,0.4407,2.57,36.11,39.29,0.1764,0.1881,0.0807
252,40,PTO-MVO,PTO-MVO (LB=504),4.7,0.346,2.63,37.25,40.54,0.1263,0.19,0.0544
252,40,DFL-MVO,DFL-MVO (LB=252),9.16,0.5123,3.16,36.51,43.31,0.251,1.0,0.1163
252,40,DFL-MVO,DFL-MVO (LB=504),13.85,0.7037,3.28,33.46,37.06,0.414,1.0,0.2326
252,40,Benchmark,EW,11.51,0.6391,3.01,38.74,42.75,0.2972,0.1,0.0323
252,40,Benchmark,GMV (LB=252),6.88,0.4707,2.56,34.84,37.86,0.1974,0.1819,0.079
252,40,Benchmark,hist-MVO (LB=252),10.11,0.6118,2.79,33.71,36.79,0.3,0.2275,0.2711
252,40,Benchmark,GMV (LB=504),5.28,0.3784,2.62,36.17,39.32,0.1461,0.1876,0.0528
252,40,Benchmark,hist-MVO (LB=504),6.6,0.4377,2.76,33.66,36.5,0.1962,0.2009,0.1482
